Part Type,Old SKUs,Part Number,Price,,Inventory 10/22/25,Order 11/12/25,Total,,,,,Order 12/3/25,Total
SKCOBK,,80-2481,,,14,,,,,,,,
SKCOBR,,80-1058,,6.00,73,,,,,,,,
SKCOBZ,,80-2253,9.54,7.00,0,20,190.8,,,,,,
SKCONK,,80-1059,8.34,6.00,16,,,,,,,,
SKCOUBK,,80-2482,10.20,10.2,15,,,,,,,,
SKCOUBR,,80-1060,,7.00,29,,,,,,,,
SKCOUBZ,,80-2153,,,21,,,,,,,,
SKCOUGNDBR,,80-2569,,,19,,,,,,,,
SKCOUGNDBZ,,80-2568,,,21,,,,,,,,
SKCOUGNDNK,,80-2570,,,40,,,,,,,,
SKCOUNK,,80-1061,,7.00,35,,,,,,,,
SKPFM,,90-1112,1.68,1.68,0,40,67.2,"SOCKET, FLUSH MOUNT PORCELAIN SIGN RECEPTACLE STYLE",,,,40,67.2
SKPGNDK,,80-1214,,,,,,,,,,,
1/8 IPS,,90-1707,2.34,2.34,0,,,,,,,,
,,90-409,,,,,,,,,,,
SKPGNDK less cap,,80-2359,1.80,1.8,0,162,291.6,,,,,,
SKRINGBKBK,,80-1389,,0.20,68,,,,,,,,
SKSDBK,,80-2416,,,25,,,,,,,,
SKSDBR,,80-1042,,5.50,32,,,,,,,,
SKSDNK,,80-1043,,5.50,26,,,,,,,,
SKSKBK,,80-2396,,,85,,,,,,,,
SKSKBR,,80-1177,,2.35,23,,,,,,,,
SKSKNK,,80-1178,,2.35,26,,,,,,,,
SKSOBK,,80-2415,4.20,4.2,8,,,,,,,,
SKSOBR,,80-1179,,2.55,15,,,,,,,,
SKSONK,,80-1180,4.08,2.55,3,10,40.8,,,,,,
,,,,,,,,,,,,,
Finials,,,,,,,,,,,,,
,,,,,,,,,,,,,
FINIALTHAB,,80-1518,0.54,0.54,,,,"FINIAL, TOP HAT STYLE - 1/4-27IPS ANTIQUE BRASS",,,,,
FINIALTHBR,,80-1181,0.48,0.48,,,,"FINIAL, TOP HAT STYLE - 1/4-27IPS BRASS",,,,,
FINIALTHBZ,,80-1519,0.54,0.54,,,,"FINIAL, TOP HAT STYLE - 1/4-27IPS DARK ANTIQUE BRASS",,,,50,27
FINIALTHNK,,80-1182,0.48,0.48,,,,"FINIAL, TOP HAT STYLE - 1/4-27IPS NICKEL",,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,subtotal,2770,,,,,subtotal,94.2
,,,,,,shipping,,,,,,shipping,
,,,,,,total,2770,,,,,total,94.2
