Schedule E: Merchandise,,,,,,,,,,
Own/  Other,Type,No.,Item,Description,Year of Manufacture,Date of Purchase,Purchase Price Per Item,Cumulative Purchase Price,Estimated Market Value Per Item,Cumulative Estimated Market Value
own,Finished Goods or Products,12,SWFLRWBK,"5500339050 40151  Floor switch, On0Off phenolic push button, 2 3/4"" diameter, 3A0125V for SPT01 ...",year purchased?,~last 3 years,2.46,29.52,6.5,78
own,Finished Goods or Products,9,SWFLRWCL,"40150  Floor switch, On0Off phenolic push button, 2 3/4"" diameter, 3A0125V for SPT01 & SPT02 lam...",year purchased?,~last 3 years,2.41,21.69,6.5,58.5
own,Finished Goods or Products,12,SWFLRWH,"5500336040  On / Off Phenolic Push Button Floor Switch, 2 3/8"" dia., for SPT01 & SPT02 lamp cord...",year purchased?,~last 3 years,2.68,32.16,8.25,99
own,Finished Goods or Products,2,SWFLRWWH,"30557  Floor switch, On0Off phenolic push button, 2 3/4"" diameter, 3A0125V for SPT01 & SPT02 lam...",year purchased?,~last 3 years,2.9,5.8,6.5,13
own,Finished Goods or Products,13,SWFRDIMBK,"5503012050 30871 Black slide dimmer, incandescent only, 300W 0 120V, SPT02 wire only.   3"" x 1 3...",year purchased?,~last 3 years,11.23,145.99,19,247
own,Finished Goods or Products,3,SWFRDIMBN,"30872 Brown slide dimmer, incandescent only, 300W 0 120V, SPT02 wire only.   3"" x 1 3.4"" Ht. x 1...",year purchased?,~last 3 years,11.23,33.69,19,57
own,Finished Goods or Products,3,SWFRDIMWH,"30870 White slide dimmer, incandescent only, 300W 0 120V, SPT02 wire only.   3"" x 1 3.4"" Ht. x 1...",year purchased?,~last 3 years,11.23,33.69,19,57
own,Finished Goods or Products,44,SWLGBN,"48465B 0 Brown, Heavy Duty Rocker Switch for Round Lamp Cord    900433 Brown Heavy Duty Rocker S...",year purchased?,~last 3 years,2.74,120.56,7,308
own,Finished Goods or Products,10,SWLGIV,"48465i 0 Ivory, Heavy Duty Rocker Switch for Round Lamp Cord",year purchased?,~last 3 years,2.74,27.4,7,70
own,Finished Goods or Products,19,SWROTBN,48437 0 Brown Inline Rotary Cord Switch for 18/2 SPT02 lamp cord  WND 30078,year purchased?,~last 3 years,0.59,11.21,1.75,33.25
own,Finished Goods or Products,30,SWROTCL,48436 0 Clear Silver Inline Rotary Cord Switch for 18/2 SPT02 lamp cord,year purchased?,~last 3 years,0.59,17.7,1.75,52.5
own,Finished Goods or Products,9,SWROTCLGD,48435 0 Clear Gold SPT02 Rotary Switch,year purchased?,~last 3 years,0.59,5.31,1.75,15.75
own,Finished Goods or Products,21,SWROTDIMBN,SWITCH: Rotary Dimmer In0Line 0 Brown,year purchased?,~last 3 years,4,84,4,84
own,Finished Goods or Products,28,SWROTDIMIV,Attach this in0line switch to any of our twisted pair or parallel wires to allow turning your la...,year purchased?,~last 3 years,4,112,4,112
own,Finished Goods or Products,10,SWROTDIMWH,SWITCH: Rotary Dimmer In0Line 0 White,year purchased?,~last 3 years,4,40,4,40
own,Finished Goods or Products,55,SWROTWH,48438 0 White Inline Rotary Cord Switch for 18/2 SPT02 lamp cord  30075 White in line lamp switc...,year purchased?,~last 3 years,0.55,30.25,1.75,96.25
own,Finished Goods or Products,25,SWSLIMBK,9002368 0 Black In Line Feed Through Rocker Switch    5503731050  Desherbinin: 30376  Black push...,year purchased?,~last 3 years,0.6,15,1.75,43.75
own,Finished Goods or Products,27,SWSLIMBN,48424 0 Brown In Line Feed Through Rocker Switch    Desherbinin: 30940 0 BLACK ROCKER LINE SWITC...,year purchased?,~last 3 years,0.6,16.2,1.75,47.25
own,Finished Goods or Products,35,SWSLIMCL,48422 0 Clear In Line Feed Through Rocker Switch  DeSherbinin  30382 Clear Silver push button la...,year purchased?,~last 3 years,0.6,21,1.75,61.25
own,Finished Goods or Products,15,SWSLIMCLGD,484230 Gold In Line Feed Through Rocker Switch    Desherbinin: 30940 0 BLACK ROCKER LINE SWITCH ...,year purchased?,~last 3 years,0.6,9,1.75,26.25
own,Finished Goods or Products,26,SWSLIMWH,48421 0 White In Line Feed Through Rocker Switch  30379 WND,year purchased?,~last 3 years,0.6,15.6,1.75,45.5
own,Finished Goods or Products,19,SWVTGLGBN,48405 0 Brown Color Heavy Duty Switch for Rayon Lamp Cord,year purchased?,~last 3 years,4.39,83.41,9,171
own,Finished Goods or Products,14,SWVTGLGIV,"48406 0 Off White Color Heavy Duty Switch for Rayon Lamp Cord,",year purchased?,~last 3 years,4.39,61.46,9,126
own,Finished Goods or Products,16,SWVTGROTBN,"48410 0 Brown Rotary “On0Off” Lamp Cord Switch, For SPT02 Size Cord",year purchased?,~last 3 years,0.8,12.8,2,32
own,Finished Goods or Products,5,SWVTGROTWH,"48411 0 White Rotary “On0Off” Lamp Cord Switch, For SPT02 Size Cord",year purchased?,~last 3 years,0.81,4.05,2,10
own,Finished Goods or Products,0,SWVTGSLIMBK,30940 0 BLACK ROCKER LINE SWITCH SWITCH FOR ROUND OR FLAT WIRE,year purchased?,~last 3 years,2.97,0,6,0
own,Finished Goods or Products,21,SWVTGSLIMGD,30943 GOLD ROCKER LINE SWITCH SWITCH FOR ROUND OR FLAT WIRE,year purchased?,~last 3 years,2.97,62.37,6,126
own,Finished Goods or Products,0,SWVTGSLIMWH,30941 WHITE ROCKER LINE SWITCH SWITCH FOR ROUND OR FLAT WIRE,year purchased?,~last 3 years,2.97,0,6,0
,,,,,,,,,,
,,,Silicone Tape,,,,,,,
own,Finished Goods or Products,18,TSIL12YDBK,"Self0Fusing Tape Standard, 1/4"" Width, 5 mil thickness, 12 Yards Length  Midsun Part # 0502536BK0R",year purchased?,~last 3 years,3.5,63,12,216
own,Finished Goods or Products,0,TSIL12YDBRK,"1/4"" Self0Fusing Silicone Tape, 5 mil thickness, 12 yard roll, Brick  Midsun Part # 0502536OR0R",year purchased?,~last 3 years,3.5,0,12,0
own,Finished Goods or Products,32,TSIL12YDCLR,"1/4"" Self0Fusing Silicone Tape, 5 mil thickness, 12 yard roll, Clear  Midsun Part # 0502536CL0R",year purchased?,~last 3 years,3.5,112,12,384
,,,,,,,,,,
,,,Lighting,,,,,,,
own,Finished Goods or Products,3,VTGMIDCENT,Mid-Century Lampshades,year purchased?,~last 3 years,0,0,200,600
own,Finished Goods or Products,1,VTGPNDMEDALN,Medalion Pendant,year purchased?,~last 3 years,35,35,350,350
,,,,,,,,,,
,,,Wire,,,,,,,
own,Finished Goods or Products,0,W121CRBK250S,"single0conductor 120gauge BLACK lacquered, solid0core KNOB & TUBE style wire 0 BY THE 2500foot S...",~last 3 years,,162.5,0,250,0
own,Finished Goods or Products,0,W121CRBK500S,"single0conductor 120gauge BLACK lacquered, solid0core KNOB & TUBE style wire 0 BY THE 5000foot S...",~last 3 years,,184.5,0,500,0
own,Finished Goods or Products,0,W121CRBKXXF,"120GAUGE, SOLID CORE, SINGLE0CONDUCTOR, BLACK COTTON, LACQUERED, Knob & Tube style wire    * Whi...",~last 3 years,,0.35,0,2,0
own,Finished Goods or Products,0,W121CRBKXXS,"single0conductor 120gauge BLACK lacquered, solid0core KNOB & TUBE style wire 0 BY THE SPOOL",~last 3 years,,9.86,0,100,0
own,Finished Goods or Products,103,W141CRBKXXF,"This is a single0conductor, 140gauge wire where the conductor is covered in black PVC insulation...",~last 3 years,,0.09,9.27,1,103
own,Finished Goods or Products,0,W141CRBKXXS,SINGLE0CONDUCTOR 140GAUGE BLACK COTTON WIRE,~last 3 years,,9.86,0,65,0
own,Finished Goods or Products,38,W141CRDBXXF,SINGLE0CONDUCTOR 140GAUGE DARK BROWN COTTON WIRE,~last 3 years,,0.09,3.42,1,38
own,Finished Goods or Products,2,W141CRDBXXS,"This is a single0conductor,  180gauge   wire where the  conductor is covered in   dark brown cot...",~last 3 years,,9.86,19.72,65,130
own,Finished Goods or Products,99,W143CPBKXXF,"30conductor, 14 gauge BLACK COTTON PULLEY cord 0 BY THE FOOT",~last 3 years,,0.36,35.64,3.25,321.75
own,Finished Goods or Products,8,W143CPBKXXS,30conductor 140gauge BLACK COTTON PULLEY cord 0 1000foot spool,~last 3 years,,33.74,269.92,150,"1,200.00"
own,Finished Goods or Products,131,W143CPDBXXF,30CONDUCTOR 140GAUGE DARK BROWN COTTON PULLEY CORD,~last 3 years,,0.32,41.92,3.25,425.75
own,Finished Goods or Products,2,W143CPDBXXS,30CONDUCTOR 140GAUGE DARK BROWN COTTON PULLEY CORD,~last 3 years,,34.12,68.24,150,300
own,Finished Goods or Products,299,W143RPPWXXF,30conductor 140gauge PEWTER RAYON PULLEY cord 0 BY THE FOOT,~last 3 years,,0.33,98.67,3.25,971.75
own,Finished Goods or Products,2,W143RPPWXXS,30conductor 140gauge PEWTER RAYON PULLEY cord 0 1000foot spool,~last 3 years,,33.47,66.94,150,300
