SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value,Vendor,Part Number,Cost Source
CKNOB-GWLNOS,porcelain-knob,PORCELAIN CLEAT PAIR,wrap large glazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-GWMF,porcelain-knob,PORCELAIN CLEAT PAIR,wrap medium glazed,active,TRUE,Knob & Tube,7,2.00,,,,,
CKNOB-GWMG,porcelain-knob,PORCELAIN CLEAT PAIR,wrap medium glazed,active,TRUE,Knob & Tube,30,3.00,,,,,
CKNOB-GWMNOS,porcelain-knob,PORCELAIN CLEAT PAIR,wrap medium glazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-GWSF,porcelain-knob,PORCELAIN CLEAT PAIR,wrap small glazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-GWSF,porcelain-knob,PORCELAIN CLEAT PAIR,wrap small unglazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-GWSG,porcelain-knob,PORCELAIN CLEAT PAIR,wrap small glazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-GWSNOS,porcelain-knob,PORCELAIN CLEAT PAIR,wrap small glazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-GWSNOS,porcelain-knob,PORCELAIN CLEAT PAIR,wrap small unglazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-U1F,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire unglazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-U1G,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire unglazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-U1NOS,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 1-wire unglazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-UF,porcelain-knob,PORCELAIN CLEAT PAIR,clamp 2-wire unglazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-UG,porcelain-knob,PORCELAIN KNOB,clamp 2-wire unglazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-UNOS,porcelain-knob,PORCELAIN KNOB,clamp 2-wire unglazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-UWLF,porcelain-knob,PORCELAIN KNOB,wrap large unglazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-UWLG,porcelain-knob,PORCELAIN KNOB,wrap large unglazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-UWLNOS,porcelain-knob,PORCELAIN KNOB,wrap large unglazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-UWMF,porcelain-knob,PORCELAIN KNOB,wrap medium unglazed,active,TRUE,Knob & Tube,0,2.00,,,,,
CKNOB-UWMG,porcelain-knob,PORCELAIN KNOB,wrap medium unglazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CKNOB-UWMNOS,porcelain-knob,PORCELAIN KNOB,wrap medium unglazed,active,TRUE,Knob & Tube,0,8.00,,,,,
CKNOB-UWSG,porcelain-knob,PORCELAIN KNOB,wrap small unglazed,active,TRUE,Knob & Tube,0,3.00,,,,,
CTUBE-3F,porcelain-tube,PORCELAIN KNOB,"3-3.75""",active,TRUE,Knob & Tube,110,2.00,,,,,
CTUBE-3G,porcelain-tube,PORCELAIN TUBE,"3-3.75""",active,TRUE,Knob & Tube,763,3.00,,,,,
