SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W182CPBR2CF,2-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed,By the foot,active,TRUE,Wire,388,0.90,0.16,62.08
W182CPBR2CMNS,2-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,8,80.00,17.46,139.68
W182CPBR2CS,2-conductor-18-gauge-black-and-red-double-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed,By the 100-foot spool,active,TRUE,Wire,4,80.00,17.46,69.84
W182CPBR2TF,2-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed,By the foot,active,TRUE,Wire,588,0.90,0.16,94.08
W182CPBR2TMNS,2-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed,NON UL by the 100-foot spool,active,TRUE,Wire,1,80.00,17.46,17.46
W182CPBR2TS,2-conductor-18-gauge-black-and-red-double-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed,By the 100-foot spool,active,TRUE,Wire,5,80.00,17.46,87.30
W182CPBR3TF,2-conductor-18-gauge-black-red-triple-tracer-cotton-pulley-cord-ul-listed,2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,600,0.90,0.16,96.00
W182CPBR3TMNS,2-conductor-18-gauge-black-red-triple-tracer-cotton-pulley-cord-ul-listed,2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,25,80.00,17.46,436.50
W182CPBR3TS,2-conductor-18-gauge-black-red-triple-tracer-cotton-pulley-cord-ul-listed,2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,6,80.00,17.46,104.76
W182CPBR4TF,2-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,489,0.90,0.16,78.24
W182CPBR4TMNS,2-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,10,80.00,17.46,174.60
W182CPBR4TS,2-conductor-18-gauge-black-and-red-quadruple-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,TRUE,Wire,5,80.00,17.46,87.30
W182CPBW1CF,2-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,By the foot,active,TRUE,Wire,800,0.90,0.16,128.00
W182CPBW1CMNS,2-conductor-18-gauge-black-and-white-single-cross-tracer-cotton-pulley-cord,2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,TRUE,Wire,18,80.00,17.46,314.28
