,,,,,,,,,,,,,,
,SKU Legend,,,,,,,,,,,,,
,"W: wire,  nn: gauge,  n: number of conductors, C or R: cotton or rayon braid, 1 letter: style of wire, 2 letters: color #1, 2 letters: color #2 or XX if there isn't a second color, S or F or L: S is normal-sized  spool for the wire, F is by the foot, L is 50-foot spool",,,,,,,,,,,,,
,So W182CTBKXXS is 18/2 cotton twisted black by the 250-foot spool,,,,,,,,,,,,,
,W[nn][n][C|R][x][xx][xx][S|F|L],,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,wire type,wire 2 type,yarn type,yarn/100 ft,qty in feet,spool,wire/ft cost,yarn/ft cost,spool cost,gross cost,price,margin,spool discount
W182,18/2 PARALLEL CORD - UL - SPT-1 - Rayon,18/2 SPT-1,,"Rayon, 2 ends",0.2,250,"6.5"" Black",$0.13015,$0.05998,$1.35,$48.88,$120.00,59.27%,
,,,,,,,,,,,,,,
W182, 18/2 PULLEY - UL -SVT - Cotton ,,,"Cotton, Color",0.35,1,,,$0.05524,,,$70.00,,
W182, 18/2 PULLEY - UL -SVT - Rayon ,,,"Rayon, 5 ends",0.35,1,,,$0.10321,,,$80.00,,
,,,,,,,,,,,,,,
W183, 18/3 PULLEY - UL - SVT - Cotton ,18/3 SVT-3,,"Cotton, Black",0.35,1,,$0.26197,$0.05402,,$0.32,$1.00,68.00%,
W183, 18/3 PULLEY - UL - SVT - Rayon ,18/3 SVT-3,,"Rayon, 5 ends",0.35,1,,$0.26197,$0.10321,,$0.37,$1.00,63.00%,
W183, 18/3 PULLEY - UL - SVT - Cotton ,18/3 SVT-3,,"Cotton, Black",0.35,100,"6.5"" White",$0.26197,$0.05402,$1.53,$33.13,$89.00,62.78%,11.00%
W183, 18/3 PULLEY - UL - SVT - Rayon ,18/3 SVT-3,,"Rayon, 5 ends",0.35,100,"6.5"" White",$0.26197,$0.10321,$1.53,$38.05,$89.00,57.25%,11.00%
,,,,,,,,,,,,,,
W183, 18/3 PULLEY - UL - SJT - Cotton ,,,,,,,,,,,$0.00,,
W183, 18/3 PULLEY - UL - SJT - Rayon ,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,,
W202,20/2  TWISTED PAIR Black Cotton,,,,,,,,,,,$0.00,,
W202,20/2  TWISTED PAIR Rayon,,,,,,,,,,,$0.00,,
,,,,,,,,,,,,,,
W222,22/2 TWISTED PAIR - Black Cotton,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Cotton, Black",0.25,1,,$0.06714,$0.03858,,$0.11,$1.00,89.00%,
W222,22/2 TWISTED PAIR - Color Cotton,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Cotton, Color",0.25,1,,$0.06714,$0.03946,,$0.11,$1.00,89.00%,
W222,22/2 TWISTED PAIR - Rayon,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Rayon, 2 ends",0.25,1,,$0.06714,$0.07497,,$0.14,$1.00,86.00%,
W222,22/2 TWISTED PAIR - Black Cotton,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Cotton, Black",0.25,100,"6.5"" Black",$0.06714,$0.03858,$1.35,$11.92,$40.00,70.20%,60.00%
W222,22/2 TWISTED PAIR - Color Cotton,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Cotton, Color",0.25,100,"6.5"" Black",$0.06714,$0.03946,$1.35,$12.01,$40.00,69.98%,60.00%
W222,22/2 TWISTED PAIR - Rayon,22/1 AWM 1015,22/1 AWM 1015 Stripe,"Rayon, 2 ends",0.25,100,"6.5"" Black",$0.06714,$0.07497,$1.35,$15.56,$40.00,61.10%,60.00%
