SKU,Handle,Title,Option,Status,Published,Type,Qty,Price,Cost,Inv Value
W183CPPRLHMNS,3-conductor-18-gauge-red-and-putty-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,11,89.0,33.25,365.75
W183CPPRLHS,3-conductor-18-gauge-red-and-putty-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,6,89.0,33.25,199.5
W183CPPRSHF,3-conductor-18-gauge-red-and-putty-small-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,52,1.0,0.32,16.64
W183CPPRSHS,3-conductor-18-gauge-red-and-putty-small-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,33.25,
W183CPPTXXF,3-conductor-18-gauge-putty-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE PUTTY COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,0,1.0,0.32,
W183CPPTXXS,3-conductor-18-gauge-putty-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE PUTTY COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,33.25,
W183CPRBXXF,3-conductor-18-gauge-raspberry-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,985,1.0,0.32,315.2
W183CPRBXXMNS,3-conductor-18-gauge-raspberry-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,19,89.0,33.25,631.75
W183CPRBXXS,3-conductor-18-gauge-raspberry-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,10,89.0,33.25,332.5
W183CPRDXXF,3-conductor-18-gauge-red-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,274,1.0,0.32,87.68
W183CPRDXXMNS,3-conductor-18-gauge-red-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,13,89.0,33.25,432.25
W183CPRDXXS,3-conductor-18-gauge-red-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,3,89.0,33.25,99.75
W183CPRWZZF,3-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,85,1.0,0.32,27.2
W183CPRWZZMNS,3-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,2,89.0,33.25,66.5
W183CPRWZZS,3-conductor-18-gauge-red-and-white-zig-zag-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,0,89.0,33.25,
W183CPSBXXF,3-conductor-18-gauge-slate-blue-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,420,1.0,0.32,134.4
W183CPSBXXS,3-conductor-18-gauge-slate-blue-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,3,89.0,33.25,99.75
W183CPSWLHF,3-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,200,1.0,0.32,64.0
W183CPSWLHMNS,3-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,14,89.0,33.25,465.5
W183CPSWLHS,3-conductor-18-gauge-slate-blue-and-white-large-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,1,89.0,33.25,33.25
W183CPSWSHF,3-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,200,1.0,0.32,64.0
W183CPSWSHMNS,3-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,32,89.0,33.25,1064.0
W183CPSWSHS,3-conductor-18-gauge-slate-blue-and-white-small-hounds-tooth-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,2,89.0,33.25,66.5
W183CPTQXXF,3-conductor-18-gauge-turquoise-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,850,1.0,0.32,272.0
W183CPTQXXMNS,3-conductor-18-gauge-turquoise-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed,NON UL by the 100-foot spool,active,,Wire,7,89.0,33.25,232.75
W183CPTQXXS,3-conductor-18-gauge-turquoise-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed,By the 100-foot spool,active,,Wire,8,89.0,33.25,266.0
W183CPWHXXF,3-conductor-18-gauge-white-cotton-pulley-cord,3-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed,By the foot,active,,Wire,419,1.0,0.32,134.08
