Schedule E: Merchandise,,,,,,
Own/Other,Type,Description,Year of Manufacture,Year of purchase,Purchase price,Estimated market value
,,,,,,
,,"Knobs, Tubes, Cleats",,,,
own,Finished Goods or Products,9x W163CSGNYLS - 3-CONDUCTOR 16-GAUGE COTTON BUNGALOW CORD OVERBRAID WIRE (By the 100-foot spool),,~last 3 years,469.89,1125.00
own,Finished Goods or Products,4972x W181CRBKXXF - SINGLE-CONDUCTOR 18-GAUGE BLACK COTTON WIRE (By the foot),,~last 3 years,447.48,3729.00
own,Finished Goods or Products,28x W181CRBKXXS - SINGLE-CONDUCTOR 18-GAUGE BLACK COTTON WIRE (By the 250-foot spool),,~last 3 years,637.00,1820.00
own,Finished Goods or Products,1x W181CRBO60 - SINGLE-CONDUCTOR 18-GAUGE WIRE (Orange cotton - 60 feet),,~last 3 years,,45.00
own,Finished Goods or Products,6x W181RRGD100 - SINGLE-CONDUCTOR 18-GAUGE WIRE (Gold rayon - 100 feet),,~last 3 years,,270.00
own,Finished Goods or Products,32x W181RRGDXXF - SINGLE-CONDUCTOR 18-GAUGE GOLD RAYON WIRE (By the foot),,~last 3 years,3.52,25.60
own,Finished Goods or Products,5x W181RRST100 - SINGLE-CONDUCTOR 18-GAUGE WIRE (Silver rayon - 100 feet),,~last 3 years,,225.00
own,Finished Goods or Products,40x W181RRSTXXF - SINGLE-CONDUCTOR 18-GAUGE SILVER RAYON WIRE (By the foot),,~last 3 years,4.40,32.00
own,Finished Goods or Products,29x W182CFBR2CF - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,4.93,29.00
own,Finished Goods or Products,120x W182CFBR3TF - 2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,20.40,120.00
own,Finished Goods or Products,763x W182CFBWSHF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,129.71,763.00
own,Finished Goods or Products,1x W182CFBWSHMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,43.75,120.00
own,Finished Goods or Products,60x W182CFBWZZF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,10.20,60.00
own,Finished Goods or Products,4x W182CFBWZZMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,175.00,480.00
own,Finished Goods or Products,18x W182CFDWZZF - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,3.06,18.00
own,Finished Goods or Products,5x W182CFGDXXF - 2-CONDUCTOR 18-GAUGE GOLD COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,0.85,5.00
own,Finished Goods or Products,9x W182CFGDXXMNS - 2-CONDUCTOR 18-GAUGE GOLD COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,393.75,1080.00
own,Finished Goods or Products,8x W182CFGYXXMNS - 2-CONDUCTOR 18-GAUGE GRAY COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,350.00,960.00
own,Finished Goods or Products,782x W182CFRDXXF - 2-CONDUCTOR 18-GAUGE RED COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,132.94,782.00
own,Finished Goods or Products,1x W182CFRDXXMNS - 2-CONDUCTOR 18-GAUGE RED COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,43.75,120.00
own,Finished Goods or Products,133x W182CFSBXXF - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,22.61,133.00
own,Finished Goods or Products,1x W182CFSBXXMNS - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,43.75,120.00
own,Finished Goods or Products,23x W182CFSWLHF - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,3.91,23.00
own,Finished Goods or Products,141x W182CFWHXXF - 2-CONDUCTOR 18-GAUGE WHITE COTTON PARALLEL CORD - UL-Listed (By the foot),,~last 3 years,23.97,141.00
own,Finished Goods or Products,11x W182CFWHXXMNS - 2-CONDUCTOR 18-GAUGE WHITE COTTON PARALLEL CORD - UL-Listed (NON UL by the 250-foot spool),,~last 3 years,481.25,1320.00
own,Finished Goods or Products,194x W182CPBDSHF - 2-CONDUCTOR 18-GAUGE BLACK & DARK BROWN SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,31.04,174.60
own,Finished Goods or Products,1x W182CPBDSHS - 2-CONDUCTOR 18-GAUGE BLACK & DARK BROWN SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,17.46,80.00
own,Finished Goods or Products,67x W182CPBDZZF - 2-CONDUCTOR 18-GAUGE BLACK & DARK BROWN ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,10.72,60.30
own,Finished Goods or Products,8x W182CPBKXXF - 2-CONDUCTOR 18-GAUGE BLACK COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,1.28,7.20
own,Finished Goods or Products,430x W182CPBNXXF - 2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,68.80,387.00
own,Finished Goods or Products,19x W182CPBNXXMNS - 2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,331.74,760.00
own,Finished Goods or Products,5x W182CPBNXXS - 2-CONDUCTOR 18-GAUGE LIGHT BROWN COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,590x W182CPBOXXF - 2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,94.40,531.00
own,Finished Goods or Products,25x W182CPBOXXMNS - 2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot pool),,~last 3 years,436.50,1000.00
own,Finished Goods or Products,6x W182CPBOXXS - 2-CONDUCTOR 18-GAUGE BURNT ORANGE COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,57x W182CPBPSHF - 2-CONDUCTOR 18-GAUGE BLACK & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,9.12,51.30
own,Finished Goods or Products,425x W182CPBPZZF - 2-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,68.00,382.50
own,Finished Goods or Products,4x W182CPBPZZS - 2-CONDUCTOR 18-GAUGE BLACK & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,600x W182CPBR1CF - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,96.00,540.00
own,Finished Goods or Products,8x W182CPBR1CMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,6x W182CPBR1CS - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,24x W182CPBR1TF - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,3.84,21.60
own,Finished Goods or Products,24x W182CPBR1TMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED SINGLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,419.04,1920.00
own,Finished Goods or Products,388x W182CPBR2CF - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed (By the foot),,~last 3 years,62.08,349.20
own,Finished Goods or Products,8x W182CPBR2CMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,4x W182CPBR2CS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE CROSS TRACER COTTON PULLEY CORD  - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,588x W182CPBR2TF - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed (By the foot),,~last 3 years,94.08,529.20
own,Finished Goods or Products,1x W182CPBR2TMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed (NON UL by the 100-foot spool),,~last 3 years,17.46,80.00
own,Finished Goods or Products,5x W182CPBR2TS - 2-CONDUCTOR 18-GAUGE BLACK & RED DOUBLE TRACER COTTON PULLEY CORD -UL Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,600x W182CPBR3TF - 2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,96.00,540.00
own,Finished Goods or Products,25x W182CPBR3TMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,436.50,2000.00
own,Finished Goods or Products,6x W182CPBR3TS - 2-CONDUCTOR 18-GAUGE BLACK & RED TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,489x W182CPBR4TF - 2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,78.24,440.10
own,Finished Goods or Products,10x W182CPBR4TMNS - 2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,174.60,800.00
own,Finished Goods or Products,5x W182CPBR4TS - 2-CONDUCTOR 18-GAUGE BLACK & RED QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,800x W182CPBW1CF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,128.00,720.00
own,Finished Goods or Products,18x W182CPBW1CMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,314.28,1440.00
own,Finished Goods or Products,8x W182CPBW1CS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,421x W182CPBW1TF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,67.36,378.90
own,Finished Goods or Products,12x W182CPBW1TMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,209.52,960.00
own,Finished Goods or Products,4x W182CPBW1TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SINGLE TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,600x W182CPBW2CF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,96.00,540.00
own,Finished Goods or Products,18x W182CPBW2CMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,314.28,1440.00
own,Finished Goods or Products,6x W182CPBW2CS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE CROSS TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,30x W182CPBW2TF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD -UL-Listed (By the foot),,~last 3 years,4.80,27.00
own,Finished Goods or Products,19x W182CPBW2TMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE DOUBLE TRACER COTTON PULLEY CORD -UL-Listed (NON UL by the 100-foot spool),,~last 3 years,331.74,1520.00
own,Finished Goods or Products,400x W182CPBW3TF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,64.00,360.00
own,Finished Goods or Products,20x W182CPBW3TMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,349.20,1600.00
own,Finished Goods or Products,4x W182CPBW3TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE TRIPLE TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,488x W182CPBW4TF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,78.08,439.20
own,Finished Goods or Products,20x W182CPBW4TMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,349.20,1600.00
own,Finished Goods or Products,5x W182CPBW4TS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE QUADRUPLE TRACER COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,500x W182CPBWLHF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,80.00,450.00
own,Finished Goods or Products,16x W182CPBWLHMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,279.36,1280.00
own,Finished Goods or Products,5x W182CPBWLHS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE LARGE HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,800x W182CPBWSHF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,128.00,720.00
own,Finished Goods or Products,29x W182CPBWSHMNS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,506.34,2320.00
own,Finished Goods or Products,8x W182CPBWSHS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE SMALL HOUND'S-TOOTH  COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,1388x W182CPBWZZF - 2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,222.08,1249.20
own,Finished Goods or Products,14x W182CPBWZZS - 2-CONDUCTOR 18-GAUGE BLACK & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,244.44,1120.00
own,Finished Goods or Products,377x W182CPDPZZF - 2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,60.32,339.30
own,Finished Goods or Products,3x W182CPDPZZS - 2-CONDUCTOR 18-GAUGE DARK BROWN & PUTTY ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,52.38,240.00
own,Finished Goods or Products,1400x W182CPDWLHF - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,224.00,1260.00
own,Finished Goods or Products,8x W182CPDWLHMNS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,14x W182CPDWLHS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,244.44,1120.00
own,Finished Goods or Products,1130x W182CPDWSHF - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,180.80,1017.00
own,Finished Goods or Products,8x W182CPDWSHMNS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,11x W182CPDWSHS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,192.06,880.00
own,Finished Goods or Products,1100x W182CPDWZZF - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,176.00,990.00
own,Finished Goods or Products,27x W182CPDWZZMNS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,471.42,2160.00
own,Finished Goods or Products,11x W182CPDWZZS - 2-CONDUCTOR 18-GAUGE DARK BROWN & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,192.06,880.00
own,Finished Goods or Products,990x W182CPGDXXF - 2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,158.40,891.00
own,Finished Goods or Products,17x W182CPGDXXMNS - 2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,296.82,680.00
own,Finished Goods or Products,10x W182CPGDXXS - 2-CONDUCTOR 18-GAUGE GOLD COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,174.60,800.00
own,Finished Goods or Products,464x W182CPGGZZF - 2-CONDUCTOR 18-GAUGE GOLD & GREEN ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,74.24,417.60
own,Finished Goods or Products,5x W182CPGGZZS - 2-CONDUCTOR 18-GAUGE GOLD & GREEN ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,555x W182CPGNXXF - 2-CONDUCTOR 18-GAUGE GREEN COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,88.80,499.50
own,Finished Goods or Products,3x W182CPGNXXS - 2-CONDUCTOR 18-GAUGE GREEN COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,52.38,240.00
own,Finished Goods or Products,590x W182CPGYXXF - 2-CONDUCTOR 18-GAUGE GRAY COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,94.40,531.00
own,Finished Goods or Products,6x W182CPGYXXS - 2-CONDUCTOR 18-GAUGE GRAY COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,490x W182CPLGXXF - 2-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,78.40,441.00
own,Finished Goods or Products,20x W182CPLGXXMNS - 2-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,349.20,800.00
own,Finished Goods or Products,5x W182CPLGXXS - 2-CONDUCTOR 18-GAUGE LIME GREEN COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,87.30,400.00
own,Finished Goods or Products,376x W182CPPRLHF - 2-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,60.16,338.40
own,Finished Goods or Products,12x W182CPPRLHMNS - 2-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,209.52,480.00
own,Finished Goods or Products,4x W182CPPRLHS - 2-CONDUCTOR 18-GAUGE RED & PUTTY LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,376x W182CPPRSHF - 2-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,60.16,338.40
own,Finished Goods or Products,3x W182CPPRSHMNS - 2-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,52.38,120.00
own,Finished Goods or Products,4x W182CPPRSHS - 2-CONDUCTOR 18-GAUGE RED & PUTTY SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,2475x W182CPPTXXF - 2-CONDUCTOR 18-GAUGE PUTTY COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,396.00,2227.50
own,Finished Goods or Products,23x W182CPPTXXS - 2-CONDUCTOR 18-GAUGE PUTTY COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,401.58,1840.00
own,Finished Goods or Products,580x W182CPRBXXF - 2-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,92.80,522.00
own,Finished Goods or Products,17x W182CPRBXXMNS - 2-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,296.82,680.00
own,Finished Goods or Products,6x W182CPRBXXS - 2-CONDUCTOR 18-GAUGE RASPBERRY COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,104.76,480.00
own,Finished Goods or Products,1100x W182CPRDXXF - 2-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,176.00,990.00
own,Finished Goods or Products,8x W182CPRDXXS - 2-CONDUCTOR 18-GAUGE RED COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,400x W182CPRWZZF - 2-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,64.00,360.00
own,Finished Goods or Products,35x W182CPRWZZMNS - 2-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,611.10,1400.00
own,Finished Goods or Products,4x W182CPRWZZS - 2-CONDUCTOR 18-GAUGE RED & WHITE ZIG-ZAG COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,390x W182CPSBXXF - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,62.40,351.00
own,Finished Goods or Products,18x W182CPSBXXMNS - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,314.28,720.00
own,Finished Goods or Products,3x W182CPSBXXS - 2-CONDUCTOR 18-GAUGE SLATE BLUE COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,52.38,240.00
own,Finished Goods or Products,400x W182CPSWLHF - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,64.00,360.00
own,Finished Goods or Products,38x W182CPSWLHMNS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,663.48,1520.00
own,Finished Goods or Products,4x W182CPSWLHS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE LARGE HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,69.84,320.00
own,Finished Goods or Products,684x W182CPSWSHF - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,109.44,615.60
own,Finished Goods or Products,18x W182CPSWSHMNS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,314.28,720.00
own,Finished Goods or Products,7x W182CPSWSHS - 2-CONDUCTOR 18-GAUGE SLATE BLUE & WHITE SMALL HOUND'S-TOOTH COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,122.22,560.00
own,Finished Goods or Products,800x W182CPTQXXF - 2-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,128.00,720.00
own,Finished Goods or Products,6x W182CPTQXXMNS - 2-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed (NON UL by the 100-foot spool),,~last 3 years,104.76,240.00
own,Finished Goods or Products,8x W182CPTQXXS - 2-CONDUCTOR 18-GAUGE TURQUOISE COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,139.68,640.00
own,Finished Goods or Products,1120x W182CPWHXXF - 2-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed (By the foot),,~last 3 years,179.20,1008.00
own,Finished Goods or Products,12x W182CPWHXXS - 2-CONDUCTOR 18-GAUGE WHITE COTTON PULLEY CORD - UL-Listed (By the 100-foot spool),,~last 3 years,209.52,960.00
