Schedule E: Merchandise,,,,,,
Own/Other,Type,Description,Year of Manufacture,Year of purchase,Purchase price,Estimated market value
,,,,,,
,,"Knobs, Tubes, Cleats",,,,
own,Finished Goods or Products,"19x SHHDUNOLGNK - SHADE HOLDER: Brass UNO Shade Holder, 3.25"" (nickel)",,~last 3 years,106.02,147.25
own,Finished Goods or Products,17x SHHOLDCLMPNK - SHADE HOLDER: Brass Clamp-On Shade Holder (nickel),,~last 3 years,82.62,187.00
own,Finished Goods or Products,8x SHHOLDUNOAB - SHADE HOLDER: Brass Clamp-On Shade Holder (antique brass),,~last 3 years,32.64,64.00
own,Finished Goods or Products,"18x SHHOLDUNOBK - SHADE HOLDER: Brass UNO Shade Holder, 2.25"" (black)",,~last 3 years,73.44,144.00
own,Finished Goods or Products,"19x SHHOLDUNOBR - SHADE HOLDER: Brass UNO Shade Holder, 2.25"" (brass)",,~last 3 years,77.52,152.00
own,Finished Goods or Products,"24x SHHOLDUNONK - SHADE HOLDER: Brass UNO Shade Holder, 2.25"" (nickel)",,~last 3 years,97.92,192.00
own,Finished Goods or Products,"4x SHMETFACAB - Pendant Shade, Metal, Faceted (Antique Brass)",,~last 3 years,,44.00
own,Finished Goods or Products,"5x SHMETFACBR - Pendant Shade, Metal, Faceted (Brass)",,~last 3 years,,55.00
own,Finished Goods or Products,"4x SHMETFACBZ - Pendant Shade, Metal, Faceted (Bronze)",,~last 3 years,,44.00
,,  Subtotal: Shade Holders,,,782.64,1463.25
,,,,,,
,,Sockets,,,,
own,Finished Goods or Products,21x BCLIPMED - Bulb Clip (Default Title),,~last 3 years,18.48,126.00
own,Finished Goods or Products,"62x SKASEPTBR - SOCKET: ALUMINUM, SIDE CORD EXIT, PUSH-THROUGH (brass)",,~last 3 years,93.00,186.00
own,Finished Goods or Products,"18x SKASEPTNK - SOCKET: ALUMINUM, SIDE CORD EXIT, PUSH-THROUGH (nickel)",,~last 3 years,27.00,54.00
own,Finished Goods or Products,"35x SKASEPTPW - SOCKET: ALUMINUM, SIDE CORD EXIT, PUSH-THROUGH (pewter)",,~last 3 years,63.00,105.00
own,Finished Goods or Products,"168x SKBKBK - SOCKET: BLACK BAKELITE, KEYLESS (Default Title)",,~last 3 years,161.28,504.00
own,Finished Goods or Products,"262x SKBKRBK - SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING (Black)",,~last 3 years,222.70,1244.50
own,Finished Goods or Products,"35x SKBKRLWH - SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING, Long (White)",,~last 3 years,,166.25
own,Finished Goods or Products,"18x SKBKRWH - SOCKET: BAKELITE, KEYLESS WITH SHADE SUPPORT RING, Long (White)",,~last 3 years,15.30,85.50
own,Finished Goods or Products,"8x SKBPRBK - SOCKET: BLACK BAKELITE, PUSH-THROUGH WITH SHADE SUPPORT RING (Default Title)",,~last 3 years,6.80,24.00
own,Finished Goods or Products,"8x SKCANDBKBK - SOCKET: BLACK BAKELITE, KEYLESS, CANDELABRA BASE (Default Title)",,~last 3 years,9.52,20.00
own,Finished Goods or Products,"103x SKCCBK - SOCKET: BLACK BAKELITE, KEYLESS, CANDELABRA BASE, with Ring (black)",,~last 3 years,,1184.50
own,Finished Goods or Products,24x SKCCBR - SOCKET: 4-PIECE with ON/OFF PULL CHAIN (brass),,~last 3 years,,276.00
own,Finished Goods or Products,15x SKCCBZ - SOCKET: 4-PIECE with ON/OFF PULL CHAIN (dark antique brass),,~last 3 years,,172.50
own,Finished Goods or Products,28x SKCCNK - SOCKET: 4-PIECE with ON/OFF PULL CHAIN (nickel),,~last 3 years,,322.00
own,Finished Goods or Products,17x SKCDBK - SOCKET: 4-PIECE with ON/OFF PULL CHAIN (black),,~last 3 years,202.98,340.00
own,Finished Goods or Products,13x SKCDBR - SOCKET: 4-PIECE with DIMMER SWITCH (brass),,~last 3 years,155.22,260.00
own,Finished Goods or Products,27x SKCDBZ - SOCKET: 4-PIECE with DIMMER SWITCH (dark antique brass),,~last 3 years,354.78,540.00
own,Finished Goods or Products,10x SKCDNK - SOCKET: 4-PIECE with DIMMER SWITCH (nickel),,~last 3 years,119.40,200.00
own,Finished Goods or Products,15x SKCDUBK - SOCKET: 4-PIECE with DIMMER SWITCH (black),,~last 3 years,189.00,330.00
own,Finished Goods or Products,12x SKCDUBR - SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS (brass),,~last 3 years,151.20,264.00
own,Finished Goods or Products,27x SKCDUBZ - SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS (dark antique brass),,~last 3 years,372.60,594.00
own,Finished Goods or Products,13x SKCDUNK - SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS (nickel),,~last 3 years,163.80,286.00
own,Finished Goods or Products,441x SKCKBK - SOCKET: 4-PIECE with DIMMER SWITCH and UNO THREADS (black),,~last 3 years,3042.90,5292.00
own,Finished Goods or Products,"44x SKCKBR - SOCKET: 4-PIECE, KEYLESS (brass)",,~last 3 years,303.60,528.00
own,Finished Goods or Products,"38x SKCKBZ - SOCKET: 4-PIECE, KEYLESS (dark antique brass)",,~last 3 years,285.00,456.00
own,Finished Goods or Products,"49x SKCKNK - SOCKET: 4-PIECE, KEYLESS (nickel)",,~last 3 years,338.10,588.00
own,Finished Goods or Products,"17x SKCKUBK - SOCKET: 4-PIECE, KEYLESS (black)",,~last 3 years,137.70,238.00
own,Finished Goods or Products,"14x SKCKUBR - SOCKET: 4-PIECE, KEYLESS WITH UNO THREADS (brass)",,~last 3 years,105.00,196.00
own,Finished Goods or Products,"20x SKCKUBZ - SOCKET: 4-PIECE, KEYLESS WITH UNO THREADS (dark antique brass)",,~last 3 years,150.00,280.00
own,Finished Goods or Products,"45x SKCKUGNDBR - SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED (brass)",,~last 3 years,,720.00
own,Finished Goods or Products,"27x SKCKUGNDBZ - SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED (dark antique brass)",,~last 3 years,,432.00
own,Finished Goods or Products,"39x SKCKUGNDNK - SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED (nickel)",,~last 3 years,,624.00
own,Finished Goods or Products,"31x SKCKUNK - SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED (nickel)",,~last 3 years,232.50,434.00
own,Finished Goods or Products,"24x SKCOBK - SOCKET: 4-PIECE, KEYLESS with UNO THREADS, GROUNDED (black)",,~last 3 years,200.16,384.00
own,Finished Goods or Products,23x SKCOBR - SOCKET: 4-PIECE with ON/OFF TURN KNOB (brass),,~last 3 years,191.82,368.00
own,Finished Goods or Products,20x SKCOBZ - SOCKET: 4-PIECE with ON/OFF TURN KNOB (dark antique brass),,~last 3 years,190.80,320.00
own,Finished Goods or Products,8x SKCONK - SOCKET: 4-PIECE with ON/OFF TURN KNOB (nickel),,~last 3 years,66.72,128.00
own,Finished Goods or Products,14x SKCOUBK - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS (black),,~last 3 years,142.80,252.00
own,Finished Goods or Products,3x SKCOUBR - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS (brass),,~last 3 years,30.60,54.00
own,Finished Goods or Products,6x SKCOUBZ - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS (dark antique brass),,~last 3 years,61.20,108.00
own,Finished Goods or Products,"19x SKCOUGNDBR - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (brass)",,~last 3 years,,342.00
own,Finished Goods or Products,"37x SKCOUGNDBZ - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (dark antique brass)",,~last 3 years,,666.00
own,Finished Goods or Products,"22x SKCOUGNDNK - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (nickel)",,~last 3 years,,396.00
own,Finished Goods or Products,"19x SKCOUNK - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (nickel)",,~last 3 years,193.80,342.00
own,Finished Goods or Products,"20x SKCOVAB - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (Antique Brass)",,~last 3 years,39.80,50.00
own,Finished Goods or Products,"42x SKCOVBK - SOCKET: 4-PIECE with ON/OFF TURN KNOB and UNO THREADS, GROUNDED (Black)",,~last 3 years,63.84,105.00
own,Finished Goods or Products,26x SKCOVBR - Socket Cover (Polished Brass),,~last 3 years,38.48,65.00
own,Finished Goods or Products,6x SKCOVCP - Socket Cover (Copper),,~last 3 years,9.12,15.00
own,Finished Goods or Products,20x SKCOVNK - Socket Cover (Polished Nickel),,~last 3 years,30.40,50.00
own,Finished Goods or Products,21x SKCOVWH - Socket Cover (White),,~last 3 years,32.76,52.50
own,Finished Goods or Products,"9x SKP1-4IPSGNDK - SOCKET: PORCELAIN, KEYLESS, GROUNDED, 1/4 IPS (Default Title)",,~last 3 years,29.61,36.00
own,Finished Goods or Products,5x SKPDUPLEX - SOCKET: PORCELAIN DUPLEX (Default Title),,~last 3 years,17.45,30.00
own,Finished Goods or Products,"28x SKPFM - SOCKET: FLUSH MOUNT PORCELAIN, SIGN RECEPTACLE STYLE (Default Title)",,~last 3 years,47.04,112.00
own,Finished Goods or Products,"151x SKPGNDK - SOCKET: PORCELAIN, KEYLESS, GROUNDED (Default Title)",,~last 3 years,353.34,604.00
own,Finished Goods or Products,"31x SKPKBK - SOCKET: PORCELAIN, KEYLESS (black)",,~last 3 years,69.44,155.00
own,Finished Goods or Products,"183x SKPTINT - SOCKET INTERIOR, PUSH-THROUGH (Default Title)",,~last 3 years,,228.75
own,Finished Goods or Products,260x SKRINGBKBK - SOCKET RING: BLACK BAKELITE SHADE SUPPORT RING (Default Title),,~last 3 years,,260.00
own,Finished Goods or Products,98x SKRINGCBK - SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS (black),,~last 3 years,19.60,294.00
own,Finished Goods or Products,40x SKRINGCBR - SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS (brass),,~last 3 years,8.00,120.00
own,Finished Goods or Products,93x SKRINGCBZ - SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS (dark antique brass),,~last 3 years,18.60,279.00
own,Finished Goods or Products,99x SKRINGCNK - SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS (nickel),,~last 3 years,19.80,297.00
own,Finished Goods or Products,13x SKSDBK - SOCKET RING: SHADE SUPPORT RING for 4-PIECE SOCKET with UNO THREADS (black),,~last 3 years,71.50,136.50
own,Finished Goods or Products,27x SKSDBR - SOCKET: 3-PIECE with DIMMER SWITCH (brass),,~last 3 years,148.50,283.50
own,Finished Goods or Products,31x SKSDNK - SOCKET: 3-PIECE with DIMMER SWITCH (nickel),,~last 3 years,170.50,325.50
own,Finished Goods or Products,"39x SKSK1-4BR - SOCKET: 3-PIECE, KEYLESS, 1/4 IPS (brass)",,~last 3 years,,263.25
own,Finished Goods or Products,"24x SKSK1-4NK - SOCKET: 3-PIECE, KEYLESS, 1/4 IPS (nickel)",,~last 3 years,,162.00
own,Finished Goods or Products,"84x SKSKBK - SOCKET: 3-PIECE, KEYLESS, 1/4 IPS (black)",,~last 3 years,197.40,504.00
own,Finished Goods or Products,"40x SKSKBR - SOCKET: 3-PIECE, KEYLESS (brass)",,~last 3 years,94.00,240.00
own,Finished Goods or Products,"30x SKSKNK - SOCKET: 3-PIECE, KEYLESS (nickel)",,~last 3 years,70.50,180.00
own,Finished Goods or Products,"3x SKSOBK - SOCKET: 3-PIECE, KEYLESS (black)",,~last 3 years,12.60,24.00
own,Finished Goods or Products,11x SKSONK - SOCKET: 3-PIECE with ON/OFF TURN KNOB (nickel),,~last 3 years,44.88,88.00
,,  Subtotal: Sockets,,,9605.92,25392.25
,,,,,,
,,Strain Reliefs,,,,
own,Finished Goods or Products,"37x STRCOLFEMBK - STRAIN RELIEF: METAL COLLAR, FEMALE (black)",,~last 3 years,,92.50
own,Finished Goods or Products,"99x STRCOLFEMBR - STRAIN RELIEF: METAL COLLAR, FEMALE (brass)",,~last 3 years,,247.50
own,Finished Goods or Products,"878x STRCOLFEMBZ - STRAIN RELIEF: METAL COLLAR, FEMALE (antique brass)",,~last 3 years,,2195.00
own,Finished Goods or Products,"689x STRCOLFEMNK - STRAIN RELIEF: METAL COLLAR, FEMALE (nickel)",,~last 3 years,,1722.50
own,Finished Goods or Products,215x STRCOLLBK - STRAIN RELIEF: METAL COLLAR (black),,~last 3 years,270.90,537.50
